number	Found	Single or multiple locations	URL	Location	Linked entries	Notes																								
1	yes	single	https://en.wikipedia.org/wiki/Innsbruck	"47deg 16_ 0_ N, 11deg 23_ 0_ E"		"Inspruck is but Two short Hours beyond the middle of the Valley, upon the River Inn: You pass this River over a Bridge be|fore you enter the City; and it is therefore called Inspruck, that Word having the same signification in High-Dutch, asAenipons, or [H] Aenipontum in Latin. [http://gateway.proquest.com.eresources.shef.ac.uk/openurl?ctx_ver=Z39.88-2003&res_id=xri:eebo&rft_id=xri:eebo:citation:10767488]"																								
2	yes	single	https://en.wikipedia.org/wiki/Aachen	"50deg 47_ 0_ N, 6deg 5_ 0_ E"	69																									
3	yes	single	https://en.wikipedia.org/wiki/Itchen_Stoke_and_Ovington#Abbotstone	"51deg 5_ 17.16_ N, 1deg 12_ 9.36_ W"	30;31	"Abberstone = Abbotstone, near Winchester (letter written by Agnes/Anne Howard, marchioness of Winchester)"																								
4	yes	single	https://en.wikipedia.org/wiki/Abbeville	"50deg 6_ 20.88_ N, 1deg 50_ 8.88_ E"	5;32; 1562																									
5	yes	single	https://en.wikipedia.org/wiki/Abbeville	"50deg 6_ 20.88_ N, 1deg 50_ 8.88_ E"	4																									
6	yes	single			280																									
7	yes	single	https://en.wikipedia.org/wiki/Bec_Abbey	"49deg 13_ 43.68_ N, 0deg 43_ 19.2_ E"																										
8	yes	single	"https://en.wikipedia.org/wiki/Bernay,_Eure"	"49deg 5_ 24_ N, 0deg 36_ 0_ E"		Unsure as several Bernay's in France																								
9	yes	single	https://en.wikipedia.org/wiki/Boyle_Abbey	"53deg 58_ 25_ N, 8deg 17_ 49_ W"	20																									
10	yes	single	https://en.wikipedia.org/wiki/Fr%C3%A9vent	"50deg 16_ 37.92_ N, 2deg 17_ 20.04_ E"	1657																									
