#PLACE_ID	PLACE_LABEL
1	AEniponte, e lecto
2	Aachen
3	Abberstone
4	Abbeville
5	Abbeville castle
6	Abbey of Askeaton
7	Abbey of Bee
8	Abbey of Bernay
9	Abbey of Boyle
10	Abbey of Cercamp
11	Abbey of Florines
12	Abbey of Killahogh
13	Abbey of Ross reala
14	Abbey of Saint-Andre
15	Abbey of Shuer
16	Abbey of St. Fuscien
17	Abbey of St. Jean
18	Abbey of Vauluysant
19	Abbey of Warden
20	Abbey of the Boyle
21	Abbotsan
22	Aberdeen
23	Aberdeen; Hume
24	Aberdour
25	Abergavenny
26	Abergwilly
27	Abergwylly
28	Abermarles
29	Abermorles
30	Aberston
31	Aberstone
32	Abevyle
33	Abingdon
34	Aboard my ship before Gertrudenberg
35	Aboard ship, near the Isle of Wight
36	Aboard the Arke
37	Aboard the Garland in Kinsale road
38	Aboard the Hope
39	Aboard the Lion, lying in Leith Road
40	Aboard the Rainbow
41	Aboard the galleys of Don Alvaro Bazan
42	Abord the Antelope in Dover Road
43	Abroad the Lyon in Leith Road
44	Abthorpe
45	Achates, in Waterford Haven
46	Achates, in the Harbour at Cork
47	Acliff, between Darlington and Durham
48	Acon
49	Acton
50	Ad Arma
51	Adams Town
52	Adare
53	Addington
54	Adrya
55	Adwykk
56	Aede heremitica divi Leonardi
57	Aelst
58	Agamonte
59	Agen
60	Aggershuus
61	Agheneskey
62	Agmondesham
63	Agnou
64	Aigues Mortes
65	Air
66	Air in Scotland
67	Aire
68	Aix
69	Aix-la-Chapelle
70	Alba Julia
71	Alba Regalis (Stuhl-Weissenburg)
72	Albrighton
73	Alcala
74	Alcala de Henares in New Castile
75	Alcmaer
76	Aldenburch
77	Aldenburg
78	Aldenham
79	Alderfleet
80	Alderlay
81	Alderman Radcliff's house, London
82	Aldermanbury
83	Aldermanstone
84	Aldermaston
85	Alderney
86	Aldersgate
87	Aldersgate Street, London
88	Alderton
89	Aldford
90	Aldford, near Chester
91	Aldinardes (Oudenarde)
92	Aldingbourne
93	Aldington
94	Aldrichegate Street
95	Alen&#x00E7;on
96	Alenscourt
97	Alentejo
98	Aleppo
99	Alexandria
100	Alfreton
101	Algiers
102	Alington
103	Alkmaar
104	All Soul's College, Oxford
105	Allanson
106	Allenton, Ryddesdale
107	Allerton
108	Alleus (a Lewes)
109	Allington
110	Allmonye
111	Almer
112	Almerim
113	Almerin
114	Almunia
115	Alne
116	Alnewick
117	Alnwick
118	Alnwick Abbey
119	Alnwick Castle
120	Alnwick, At Alnwick in a smoky house
121	Alnwick, Sir John Forster's house
122	Alnwick; Blayr in Athoill
123	Alnwick; Edinburgh
124	Alnwick; Stirling
125	Alnwick; Terreglis
126	Aloste
127	Alport
128	Altdisert
129	Alterinis (Alterenys)
130	Althorp
131	Alton
132	Alucwick
133	Alyngbon
134	Ambarie
135	Amberg
136	Amberley
137	Amboise
138	Ambresbury
139	Ambstetten
140	Amersford
141	Amersfort
142	Amesbury
143	Amiens
144	Ampthill
145	Ampton
146	Amptoncorte
147	Amptonhyll
148	Amsterdam
149	Amyas
150	Anagh Ache
151	Anagh ach
152	Ancona
153	Andely
154	Anderlaco
155	Andernach
156	Anderschow
157	Andershus
158	Andoun
159	Andover
160	Andrinopoli
161	Andwarpe
162	Andwerp
163	Andwerpe
164	Andworskow
165	Anet
166	Angel in Islington
167	Angers
168	Angouleme
169	Angra
170	Angrefsheim
171	Angres
172	Ankastyr
173	Annaburg
174	Annan
175	Annecy
176	Annet
177	Ansbach
178	Ansco
179	Anstey
180	Anstradam
181	Antelope
182	Anthoncourt
183	Antibo
184	Antona
185	Antona (Southampton)
186	Antone
187	Antvorskov
188	Antwerp
189	Antwerp Castle
190	Antwerp prison
191	Anvers
192	Apethorp
193	Apostolic Palace
194	Appleby
195	Aprilis
196	Apthorp
197	Apthorpe
198	Apthorpe (Apethorpe)
199	Aragon
200	Aranda
201	Aranjuez
202	Arboga
203	Arbrachan
204	Archangel
205	Arches Court
206	Arcques
207	Arcueil
208	Ardarth
209	Ardbraccan
210	Arddart
211	Ardee
212	Ardes
213	Ardmach
214	Ardnary
215	Ardragh
216	Ardre
217	Ardres
218	Arensberg
219	Arezzo
220	Arfackan
221	Argentan
222	Argentina
223	Argenton
224	Argentr&#x00E9;
225	Argyle
226	Argyll
227	Ark Royal
228	Arlaghe
229	Arles
230	Arleston
231	Arlo
232	Armagh
233	Armeas
234	Armler
235	Armorantyne
236	Armour
237	Arnall
238	Arnamurchan
239	Arnhem
240	Arow
241	Arques
242	Arra
243	Arranda
244	Arras
245	Arras; Mons; Madrid; Watthen; Gravelinghes
246	Arreye
247	Arromatyn
248	Arrondell House in St. Martens
249	Arrye
250	Arscot
251	Artford (Hertford)
252	Artois
253	Artylborough
254	Arundel
255	Arundel House
256	Arwenick
257	Aschaffemburg
258	Ascheforth
259	Ascher
260	Aschulio
261	Aschvelthrope
262	Ascot
263	Ash
264	Ashbourn
265	Ashbourne
266	Ashburn
267	Ashburton
268	Ashby de la Zouche
269	Ashby-de-la-Zouch
270	Ashden
271	Ashe
272	Asher
273	Asheridge
274	Asheton
275	Ashford
276	Ashridge
277	Askcaton
278	Aske
279	Aske; Edinburgh
280	Askeaton
281	Askerton
282	Astbury
283	Aste
284	Asteley
285	Asti
286	Aston
287	Aston Flambyll
288	Astwell
289	At Court
290	At Mr. Smith's, Holborn
291	At Walsingham's house
292	At my house
293	At my house called Old Temple, in Holborn
294	At my house of Redlinche
295	At my little manor of Townhill
296	At my manor of Westthrope
297	At my poor cabin
298	At my poor house
299	At sea
300	At the Cladegh
301	At the Coorte
302	At the Court
303	At the Court Gate
304	At the Court at Greenwich
305	At the Fleet
306	At the Lions Inn, [London]
307	At the Lions [Inn], [London]
308	At the Lord Treasurer's House
309	At the Maghure [Maghery]
310	At the Passage
311	At the Vyne
312	At the army
313	At the court
314	At the court, Windsor
315	At the fort
316	At the leger of the Duke of Holst
317	At the tower
318	At your place
319	Athboy
320	Athclare
321	Athelney
322	Athenry
323	Athlone
324	Athlone Castle
325	Athtou (?)
326	Athy
327	Attigny
328	Attigny la Tour
329	Attlebridge
330	Au Camp de la Mothe
331	Au camp St. George
332	Aubervilliers
333	Aubeterre
334	Aubigny
335	Auckland
336	Audenarde
337	Auderuicke
338	Audley End
339	Auffay
340	Aufy
341	Aughram
342	Aughton
343	Augsburg
344	Augsburg (Augusta Vindelicorum)
345	Augsburg (Augusta)
346	Augustine Friars
347	Augustines
348	Aulford
349	Aulton
350	Aumale
351	Aurich
352	Austin Friars
353	Austin Friars, London
354	Autinghes Castle
355	Auxonne
356	Auxstford [Oxford]
357	Avenys
358	Avesnes
359	Avignon
360	Avranches
361	Awcton
362	Awghton
363	Awsbourge
364	Awstryk
365	Axbridge
366	Axholme
367	Ayamonte
368	Ayelton
369	Aygres by Angouleme
370	Aylesbury
371	Aylesham
372	Aylton
373	Aylysforde
374	Aynche
375	Aynesford, Kent
376	Ayr
377	Ayre
378	Aysshe
379	B&#x00E2;le
380	Babraham
381	Baburham
382	Backlersbury
383	Baconsthorpe
384	Badburham
385	Baddes worth
386	Baddesley
387	Baddow
388	Baden
389	Badley
390	Badsell
391	Bagatragh
392	Baggetrath, near Dublin
393	Baggetrathe
394	Baggrave
395	Bagshot
396	Bailiwick of Caspe
397	Bailleul
398	Balan Ry
399	Balbastro
400	Balbastro, beside Moncon
401	Balcarres
402	Balcarres (Bacares)
403	Bale
404	Balenore, i.e. Ballynecor
405	Ballahowth
406	Ballameda
407	Ballcbnaglic
408	Ballebogan
409	Ballekynch
410	Ballenderry
411	Ballibeg
412	Ballimote
413	Ballinacor
414	Ballinasloe
415	Ballinlagh
416	Balliol College
417	Balliscanlan
418	Balliscomla
419	Balloghreagh
420	Ballot
421	Ballybrittas
422	Ballybrytane
423	Ballydwill
424	Ballyfain near Clogher
425	Ballyfen towards Clogher
426	Ballylonghrea in Clanricard
427	Ballymackeady
428	Ballymaseanlane
429	Ballymore
430	Ballymore Loughseudy
431	Ballymore, within 10 miles of Athlone
432	Ballymote
433	Ballynasloe
434	Ballyndowne
435	Ballyne
436	Ballynecour
437	Ballynenoddogh
438	Ballynescheagh
439	Ballynycor
440	Ballyrobearde
441	Ballyscanlane
442	Ballyshannon
443	Ballyshannon (Bellashanyn)
444	Balmany
445	Balrothery
446	Balsall
447	Baltimore
448	Baltinglas
449	Balveny
450	Balwearie
451	Balynavistiall
452	Balyngehem
453	Bamburgh
454	Banbury
455	Banbury Castle
456	Bangor
457	Bannside
458	Banwell
459	Banynghame
460	Baqueville
461	Bar
462	Bar-le-Duc
463	Barajas
464	Barbastro
465	Barbican
466	Barbican Street
467	Barbizon
468	Barcelona
469	Barcheston
470	Barescourte
471	Bargany
472	Bargen
473	Barkeley
474	Barlynche
475	Barmesey
476	Barn Elms
477	Barnard Castle
478	Barnard's Castle
479	Barnard's Inn
480	Barnbougall
481	Barnchus
482	Barnelmes
483	Barners
484	Barnes
485	Barnes; Edinburgh
486	Barnes; Fenton
487	Barnes; Holyrood House
488	Barnes; Linlithgow
489	Barnet
490	Barnewell
491	Barney Castle
492	Barns
493	Barnstaple
494	Barnsthurst
495	Baroco, beside Nerac
496	Barough
497	Barres
498	Barrew (Barrow?)
499	Barrow
500	Barry Court
501	Barry's Court
502	Barstaple
503	Barstyldon
504	Bart
505	Barte
506	Bartlow
507	Barton
508	Barwick
509	Bas Boulogne
510	Base
511	Basing
512	Basing Hall, London
513	Basinge
514	Basingstoke
515	Basle
516	Basse
517	Bassendean
518	Basshopsthorpe
519	Bastable
520	Bastogne
521	Baston
522	Batell
523	Batell Abbey
524	Bath
525	Bath House, Holborn
526	Battell
527	Battersea
528	Battersea, Westminster
529	Battersey
530	Battle
531	Battysford
532	Baumont
533	Bavaria
534	Baveir
535	Bawtre
536	Bayford
537	Bayghen
538	Baynard's Castle
539	Baynards Castle
540	Bayonne
541	Beachaffe
542	Beachampton Court
543	Beaconsfield
544	Beakesborne
545	Bealahoo
546	Bealdrohid
547	Beallaho
548	Bealrohide
549	Bear Bristol, St Georges
550	Bearehaven
551	Beatly
552	Beaucaire
553	Beaudeley
554	Beaudesert
555	Beaufort
556	Beaugency
557	Beaulieu
558	Beaulne
559	Beaumalle
560	Beaumanoir
561	Beaumaris
562	Beaumont
563	Beauport Abbey
564	Beaupree
565	Beauvais
566	Beauvoir
567	Beauvoir Castle
568	Beckinbourne
